Character   Count
=================

the         :1507x
happen      :   5x
along       :   5x
marked      :   5x
roof        :   5x
dance.      :   5x
become      :   5x
that,       :   5x
hair        :   5x
arm,        :   5x
head.       :   5x
her:        :   5x
write       :   5x
air.        :   5x
broken      :   5x
sister      :   5x
other,      :   5x
`or         :   5x
fact,       :   4x
No,         :   4x
question,   :   4x
trial       :   4x
passed      :   4x
Duchess;    :   4x
First,      :   4x
distance,   :   4x
chance      :   4x
Soup!       :   4x
`Call       :   4x
sight,      :   4x
now,'       :   4x
garden      :   4x
whispered   :   4x
new         :   4x
bottom      :   4x
Beau--ootiful:   4x
stand       :   4x
Lobster     :   4x
seems       :   4x
shrinking   :   4x
puzzling    :   4x
(it         :   4x
thing,      :   4x
`I'd        :   4x
Soup        :   4x
quietly     :   4x
number      :   4x
history,    :   4x
listen      :   4x
sleep       :   4x
all.        :   4x
carried     :   4x
`So         :   4x
dropped     :   4x
go,         :   4x
you'll      :   4x
dead        :   4x
shut        :   4x
day,        :   4x
while,      :   4x
face,       :   4x
could.      :   4x
gardeners,  :   4x
Soo--oop!   :   4x
again:      :   4x
`There      :   4x
led         :   4x
hastily.    :   4x
hot         :   4x
mind        :   4x
minute,     :   4x
Footman     :   4x
`to         :   4x
pardon!'    :   4x
care        :   4x
On          :   4x
second      :   4x
stick,      :   4x
conversation:   4x
What        :   4x
sometimes   :   4x
mushroom    :   4x
gardeners   :   4x
witness     :   4x
Don't       :   4x
himself     :   4x
nervous     :   4x
asleep      :   4x
held        :   4x
learn       :   4x
exclaimed   :   4x
fast        :   4x
jumping     :   4x
tears       :   4x
things!'    :   4x
crowd       :   4x
song,       :   4x
perfectly   :   4x
ventured    :   4x
growing,    :   4x
said.       :   4x
do,'        :   4x
except      :   4x
they'll     :   4x
more,       :   4x
dance?      :   4x
glass       :   4x
jury,       :   4x
`Now,       :   4x
hastily,    :   4x
WAS         :   4x
chin        :   4x
fear        :   4x
screamed    :   4x
pack        :   4x
reach       :   4x
strange     :   4x
draw        :   4x
taught      :   4x
case        :   4x
wanted      :   4x
drink       :   4x
tiny        :   4x
short       :   4x
argument    :   4x
nine        :   4x
timidly,    :   4x
`as         :   4x
`He         :   4x
finish      :   4x
yet,'       :   4x
back,       :   4x
taken       :   4x
Come        :   4x
say,'       :   4x
`Don't      :   4x
`Now        :   4x
school      :   4x
worth       :   4x
pig,        :   4x
until       :   4x
spoke       :   4x
him,        :   4x
`Are        :   4x
lessons     :   4x
says        :   4x
slates,     :   4x
An          :   4x
sneezing    :   4x
different   :   4x
meant       :   4x
busily      :   4x
writing     :   4x
walk        :   4x
since       :   4x
trouble     :   4x
now.'       :   4x
hookah      :   4x
shan't      :   4x
sides       :   4x
stay        :   4x
HAVE        :   4x
Duchess:    :   4x
nearer      :   4x
pictures    :   4x
know--'     :   4x
CAN         :   4x
(Alice      :   4x
ears        :   4x
hurry       :   4x
remark,     :   4x
yer         :   4x
beat        :   4x
itself,     :   4x
she,        :   4x
several     :   4x
height      :   4x
moved       :   4x
capital     :   4x
Said        :   4x
likely      :   4x
eye         :   4x
others      :   4x
Dinah       :   4x
here?'      :   4x
herself;    :   4x
Will        :   4x
rate        :   4x
fallen      :   4x
lay         :   4x
begins      :   4x
tail        :   3x
eagerly     :   3x
tarts       :   3x
fancy       :   3x
`Did        :   3x
savage      :   3x
teacup      :   3x
letter,     :   3x
All         :   3x
putting     :   3x
twice,      :   3x
muttering   :   3x
ALICE'S     :   3x
saying,     :   3x
did,'       :   3x
angry       :   3x
Seven       :   3x
began.      :   3x
rules       :   3x
green       :   3x
Bill's      :   3x
executioner :   3x
`Hold       :   3x
face.       :   3x
`Sure,      :   3x
peeped      :   3x
forgetting  :   3x
opening     :   3x
instance,   :   3x
Lory        :   3x
court.      :   3x
high        :   3x
sea,        :   3x
decidedly,  :   3x
By          :   3x
'em         :   3x
verses      :   3x
King;       :   3x
unfortunate :   3x
is!'        :   3x
`Perhaps    :   3x
mentioned   :   3x
dark        :   3x
hers        :   3x
remark      :   3x
girls       :   3x
middle      :   3x
If          :   3x
nobody      :   3x
old,'       :   3x
tea,'       :   3x
pressed     :   3x
of?'        :   3x
away.       :   3x
is.'        :   3x
fire,       :   3x
gently      :   3x
begin.'     :   3x
tree        :   3x
twinkle,    :   3x
day.        :   3x
pleaded     :   3x
head,       :   3x
picked      :   3x
venture     :   3x
William     :   3x
natural     :   3x
nothing.    :   3x
lobsters    :   3x
expecting   :   3x
judge,      :   3x
hours       :   3x
That        :   3x
mushroom,   :   3x
hanging     :   3x
watching    :   3x
see:        :   3x
hoping      :   3x
carefully,  :   3x
executed,   :   3x
question.   :   3x
easily      :   3x
knee,       :   3x
officers    :   3x
